Td    ID    Tj    Df    Dd    Db
18    2    1    0    17    17
20    6    2    0    18    18
20    10    3    0    17    17
26    22    6    0    20    20
26    14    4    0    22    22
26    18    5    0    21    21
26    30    8    0    18    18
28    2043    11    2    15    17
29    2001    1    0    28    28
30    2005    2    0    28    28
31    2009    3    0    28    28
32    2007    2    11    19    30
34    2006    2    0    32    32
36    2010    3    0    33    33
36    2011    3    10    23    33
38    2023    6    8    24    32
41    2035    9    6    26    32
43    66    17    11    15    26
43    70    18    10    15    25
47    2075    19    0    28    28
47    2031    8    7    32    39
48    2014    4    0    44    44
48    38    10    9    29    38
48    42    11    9    28    37
48    46    12    9    27    36
48    50    13    9    26    35
48    54    14    9    25    34
49    2063    16    0    33    33
50    2107    27    0    23    23
51    2051    13    0    38    38
52    2055    14    0    38    38
53    2087    22    0    31    31
54    2038    10    0    44    44
54    2015    4    10    40    50
54    2019    5    9    40    49
55    2027    7    8    40    48
58    2039    10    6    42    48
59    2099    25    0    34    34
59    2079    20    0    39    39
60    2013    4    27    29    56
61    2047    12    1    48    49
62    2000    1    0    61    61
62    2070    18    0    44    44
63    2004    2    0    61    61
64    2008    3    0    61    61
64    2111    28    0    36    36
65    2071    18    0    47    47
65    2115    29    0    36    36
66    2119    30    0    36    36
68    2123    31    0    37    37
70    2003    1    12    57    69
70    2163    41    0    29    29
71    2106    27    2    42    44
71    2127    32    0    39    39
73    2098    25    2    46    48
74    2110    28    0    46    46
74    2067    17    0    57    57
75    2083    21    0    54    54
76    2134    34    1    41    42
77    2143    36    0    41    41
77    102    26    28    23    51
77    106    27    27    23    50
77    78    20    24    33    57
79    2091    23    0    56    56
80    2059    15    0    65    65
81    2095    24    0    57    57
84    2167    42    0    42    42
85    2135    34    0    51    51
86    2103    26    0    60    60
87    2175    44    0    43    43
88    2017    5    56    27    83
88    2178    45    0    43    43
89    2179    45    0    44    44
92    2235    59    0    33    33
93    2012    4    26    63    89
93    2021    6    58    29    87
94    2195    49    0    45    45
95    2016    5    27    63    90
98    138    35    47    16    63
98    142    36    46    16    62
99    2207    52    0    47    47
100    2131    33    0    67    67
102    2126    32    2    68    70
102    2223    56    0    46    46
103    2139    35    0    68    68
105    2206    52    1    52    53
106    2231    58    0    48    48
108    2147    37    0    71    71
109    2291    73    0    36    36
111    2226    57    0    54    54
111    2155    39    0    72    72
112    2247    62    0    50    50
112    126    32    47    33    80
112    130    33    47    32    79
112    134    34    46    32    78
112    122    31    47    34    81
112    118    30    48    34    82
113    2159    40    0    73    73
115    26    7    0    108    108
115    381    96    0    19    19
116    2259    65    0    51    51
117    2025    7    82    28    110
118    2171    43    0    75    75
121    2327    82    0    39    39
123    2283    71    0    52    52
124    2279    70    0    54    54
124    2183    46    0    78    78
125    2187    47    0    78    78
125    146    37    62    26    88
125    150    38    61    26    87
125    154    39    62    24    86
125    389    98    0    27    27
125    393    99    0    26    26
126    2029    8    86    32    118
126    2274    69    2    55    57
127    2191    48    0    79    79
128    2243    61    0    67    67
132    2303    76    0    56    56
133    2020    6    57    70    127
135    2211    53    0    82    82
136    2024    7    58    71    129
137    2375    94    0    43    43
138    2338    85    2    51    53
138    2215    54    0    84    84
139    2219    55    0    84    84
139    2451    113    0    26    26
140    2374    94    1    45    46
140    2323    81    0    59    59
142    190    48    78    16    94
142    194    49    77    16    93
142    457    115    0    27    27
142    461    116    0    26    26
142    477    120    0    22    22
143    2391    98    0    45    45
144    2334    84    2    58    60
144    2227    57    0    87    87
147    2033    9    109    29    138
148    2347    87    0    61    61
148    2151    38    0    110    110
149    2351    88    0    61    61
150    2390    98    0    52    52
152    2355    89    0    63    63
152    178    45    70    37    107
152    170    43    70    39    109
152    174    44    70    38    108
152    162    41    70    41    111
152    166    42    70    40    110
152    397    100    0    52    52
152    533    134    0    18    18
153    2359    90    0    63    63
153    2203    51    0    102    102
154    2199    50    0    104    104
157    2426    107    2    48    50
157    2255    64    0    93    93
158    2315    79    0    79    79
159    2394    99    2    58    60
161    2379    95    0    66    66
162    2028    8    86    68    154
164    2032    9    87    68    155
164    2037    10    124    30    154
166    2490    123    0    43    43
166    2331    83    0    83    83
168    2399    100    0    68    68
170    2403    101    0    69    69
170    2287    72    0    98    98
171    2266    67    46    58    104
171    2239    60    0    111    111
171    182    46    79    46    125
171    186    47    78    46    124
171    218    55    95    21    116
171    222    56    96    19    115
171    573    144    0    27    27
177    2306    77    2    98    100
178    2494    124    0    54    54
180    2041    11    137    32    169
180    2307    77    0    103    103
180    202    51    91    38    129
180    206    52    92    36    128
180    198    50    92    38    130
180    210    53    93    34    127
180    214    54    95    31    126
180    613    154    0    26    26
180    617    155    0    25    25
180    537    135    0    45    45
180    641    161    0    19    19
180    645    162    0    18    18
181    2486    122    0    59    59
181    2367    92    0    89    89
181    2511    128    0    53    53
182    2311    78    0    104    104
183    2515    129    0    54    54
183    2439    110    0    73    73
188    2319    80    0    108    108
188    2531    133    0    55    55
190    2271    68    0    122    122
192    2275    69    0    123    123
196    2526    132    2    62    64
197    2534    134    2    61    63
198    2343    86    0    112    112
199    226    57    108    34    142
199    230    58    109    32    141
199    234    59    109    31    140
199    238    60    108    31    139
199    254    64    113    22    135
199    689    173    0    26    26
199    693    174    0    25    25
199    717    180    0    19    19
199    721    181    0    18    18
200    2045    12    153    35    188
201    2411    103    0    98    98
202    2415    104    0    98    98
203    2575    144    0    59    59
204    2036    10    117    77    194
204    2495    124    0    80    80
205    2299    75    0    130    130
206    2423    106    0    100    100
207    2427    107    0    100    100
208    2251    63    0    145    145
208    2503    126    0    82    82
209    2590    148    2    59    61
209    2618    155    2    52    54
210    2431    108    0    102    102
211    2507    127    0    84    84
212    2049    13    168    31    199
213    2040    11    126    76    202
213    2371    93    0    120    120
214    2263    66    0    148    148
215    2354    89    2    124    126
215    2443    111    0    104    104
216    2267    67    0    149    149
217    2527    132    0    85    85
218    2447    112    0    106    106
218    278    70    127    21    148
218    242    61    114    43    157
218    246    62    113    43    156
218    274    69    125    24    149
218    773    194    0    24    24
218    777    195    0    23    23
221    2459    115    0    106    106
222    2387    97    0    125    125
222    2635    159    0    63    63
223    2622    156    3    64    67
223    2463    116    0    107    107
225    2643    161    0    64    64
226    2467    117    0    109    109
226    2395    99    0    127    127
227    2682    171    1    55    56
228    2651    163    0    65    65
229    2339    85    0    144    144
230    2538    135    2    93    95
